year,sex,name,n,prop
1880,M,John,9655,0.08154629684372335
1880,M,George,5126,0.04329428458010625
1880,M,Paul,301,0.002542251201445958
1881,M,John,8769,0.08098298886241481
1881,M,George,4664,0.04307271753384681
1881,M,Paul,291,0.0026874272732310077
1882,M,John,9557,0.07831616556448771
1882,M,George,5193,0.042554760675566045
1882,M,Paul,397,0.0032532717096475485
1883,M,John,8894,0.07907324098934902
1883,M,George,4736,0.042106011842315834
1883,M,Paul,358,0.0031828446451750564
1884,M,John,9388,0.07648750600868509
1884,M,George,4961,0.040419100693341155
1884,M,Paul,422,0.003438189980364839
1885,M,John,8756,0.07551791351146223
1885,M,George,4674,0.04031186931847584
1885,M,Paul,428,0.003691373570455212
1886,M,John,9026,0.07582197879739924
1886,M,George,4671,0.039238252045496545
1886,M,Paul,466,0.003914584768401069
1887,M,John,8110,0.07418926954214884
1887,M,George,4284,0.03918949823903398
1887,M,Paul,449,0.0041073960572657
1888,M,John,9247,0.07118278742157731
1888,M,George,4912,0.037812247411569994
1888,M,Paul,529,0.004072206612524537
1889,M,John,8548,0.07181141522590184
1889,M,George,4430,0.03721625753986256
1889,M,Paul,556,0.0046709343548901995
1890,M,John,8502,0.07102697554740561
1890,M,George,4458,0.03724279663494875
1890,M,Paul,607,0.005070968496503789
1891,M,John,7680,0.07028654580065345
1891,M,George,3931,0.03597609525291259
1891,M,Paul,564,0.005161668207235488
1892,M,John,9039,0.06876221919621461
1892,M,George,4760,0.03621066084456041
1892,M,Paul,747,0.005682639422455174
1893,M,John,8049,0.06649867812293457
1893,M,George,4320,0.0356906807666887
1893,M,Paul,743,0.006138466622604098
1894,M,John,8238,0.0659599340240524
1894,M,George,4365,0.03494963729242397
1894,M,Paul,824,0.006597594760356783
1895,M,John,8320,0.06569596664666309
1895,M,George,4289,0.03386658665234832
1895,M,Paul,933,0.00736710779823758
1896,M,John,8139,0.06305782818891781
1896,M,George,4286,0.033206272468079834
1896,M,Paul,964,0.007468699640510723
1897,M,John,7550,0.061914173015261226
1897,M,George,4078,0.033441853980958315
1897,M,Paul,923,0.007569110158024651
1898,M,John,8159,0.0617614776125052
1898,M,George,4853,0.03673592975284811
1898,M,Paul,991,0.007501608568941372
1899,M,John,6990,0.06067971700160597
1899,M,George,4018,0.03487998611050827
1899,M,Paul,885,0.007682625113937237
1900,M,John,9829,0.06062045146169977
1900,M,George,5403,0.03332305415073394
1900,M,Paul,1288,0.007943752312816086
1901,M,John,6899,0.059682512219386655
1901,M,George,3609,0.031221073575846706
1901,M,Paul,924,0.00799342532116441
1902,M,John,7907,0.05956353720178683
1902,M,George,4223,0.03181191572064573
1902,M,Paul,1067,0.008037725331264265
1903,M,John,7608,0.05882807788070458
1903,M,George,3961,0.030628025300403632
1903,M,Paul,1081,0.008358721370799375
1904,M,John,8108,0.05853813498137292
1904,M,George,4219,0.03046033442111647
1904,M,Paul,1194,0.008620440696566263
1905,M,John,8060,0.05626762726536539
1905,M,George,4256,0.029711541146575076
1905,M,Paul,1262,0.008810142135098155
1906,M,John,8264,0.05736100506698133
1906,M,George,4201,0.02915943638509058
1906,M,Paul,1309,0.009085861039772334
1907,M,John,8983,0.0566436300350594
1907,M,George,4445,0.028028602416324058
1907,M,Paul,1358,0.008563069084672232
1908,M,John,9342,0.05615127545500445
1908,M,George,4584,0.027552713196932175
1908,M,Paul,1478,0.008883706392902651
1909,M,John,9591,0.054226881063844226
1909,M,George,4688,0.02650564262613927
1909,M,Paul,1676,0.00947599339620508
1910,M,John,11450,0.05490974659991176
1910,M,George,5441,0.026092919759835798
1910,M,Paul,2005,0.009615200168805509
1911,M,John,13445,0.05569778617352688
1911,M,George,6586,0.027283422814343476
1911,M,Paul,2393,0.009913335984622523
1912,M,John,24587,0.05446156436064644
1912,M,George,11734,0.02599145874681032
1912,M,Paul,4785,0.010599039552027218
1913,M,John,29329,0.05469348784040071
1913,M,George,13873,0.02587073397694702
1913,M,Paul,5966,0.011125553154073806
1914,M,John,37948,0.05553466086948886
1914,M,George,17603,0.025760952758659545
1914,M,Paul,7733,0.01131678962010534
1915,M,John,47577,0.05400659289765117
1915,M,George,22308,0.02532272052379936
1915,M,Paul,10328,0.011723733977487888
1916,M,John,50046,0.054205866615832196
1916,M,George,23379,0.02532228261222757
1916,M,Paul,10791,0.011687957212393503
1917,M,John,51853,0.054051208602661646
1917,M,George,24197,0.02522278546195213
1917,M,Paul,11153,0.011625810069725673
1918,M,John,56557,0.05393114641233006
1918,M,George,26320,0.02509800331652187
1918,M,Paul,11756,0.011210187195631879
1919,M,John,53530,0.05272130785875456
1919,M,George,25173,0.02479270470256732
1919,M,Paul,11307,0.011136182102726282
1920,M,John,56914,0.0516991576654443
1920,M,George,26890,0.024426157880728768
1920,M,Paul,12570,0.011418252307949447
1921,M,John,58225,0.051167695586264474
1921,M,George,27474,0.02414394621789661
1921,M,Paul,13167,0.011571061361689039
1922,M,John,57275,0.05089681476136481
1922,M,George,27350,0.024304284307696683
1922,M,Paul,12926,0.011486551333136648
1923,M,John,57476,0.05075757508855376
1923,M,George,27030,0.023870437306764705
1923,M,Paul,13365,0.01180275229762894
1924,M,John,59055,0.05051632638397027
1924,M,George,27370,0.023412612871547986
1924,M,Paul,13338,0.011409478643796385
1925,M,John,57195,0.04967206622594776
1925,M,George,26564,0.023070002049586088
1925,M,Paul,14177,0.012312280494540806
1926,M,John,56114,0.04898796558602838
1926,M,George,25900,0.022610904741742436
1926,M,Paul,13652,0.011918303920241997
1927,M,John,55949,0.04815762586838058
1927,M,George,25951,0.02233710252033717
1927,M,Paul,13604,0.011709527289378708
1928,M,John,53746,0.04710024905836308
1928,M,George,24401,0.021383789998755585
1928,M,Paul,13159,0.011531875439269897
1929,M,John,52113,0.04705866417435356
1929,M,George,23016,0.020783724111774825
1929,M,Paul,12429,0.01122353610467715
1930,M,John,52433,0.046426645581220734
1930,M,George,22773,0.020164285847102774
1930,M,Paul,12956,0.011471852080756314
1931,M,John,48403,0.045263183487817105
1931,M,George,20678,0.019336654921411525
1931,M,Paul,12251,0.011456299421714508
1932,M,John,48603,0.045247154306546376
1932,M,George,20437,0.019025905655265893
1932,M,Paul,12068,0.01123475213816846
1933,M,John,46224,0.04532257922185649
1933,M,George,18359,0.018000978537860493
1933,M,Paul,11847,0.011615969973202966
1934,M,John,46733,0.04401896659558275
1934,M,George,18494,0.01741995523973867
1934,M,Paul,12195,0.011486771609636267
1935,M,John,47489,0.04441233546094316
1935,M,George,18554,0.017351944074255922
1935,M,Paul,12558,0.011744406256575718
1936,M,John,47665,0.04479325934982347
1936,M,George,18192,0.01709596085370793
1936,M,Paul,12303,0.01156176376336679
1937,M,John,48745,0.04458059306044468
1937,M,George,18429,0.01685456456069207
1937,M,Paul,12871,0.011771398364570387
1938,M,John,50507,0.04445166133760714
1938,M,George,18435,0.01622480798223588
1938,M,Paul,13356,0.011754734765974637
1939,M,John,51021,0.045028236969911456
1939,M,George,17886,0.015785167802352684
1939,M,Paul,13330,0.011764300950763798
1940,M,John,54766,0.046177688737790726
1940,M,George,18307,0.015436127300199665
1940,M,Paul,14104,0.011892234633856781
1941,M,John,57510,0.04583982285789894
1941,M,George,19258,0.015350083613239746
1941,M,Paul,15157,0.012081276213826712
1942,M,John,66023,0.04689040274767263
1942,M,George,21270,0.015106233682852898
1942,M,Paul,16487,0.011709284190371214
1943,M,John,68926,0.04739582867748131
1943,M,George,21676,0.014905144392726763
1943,M,Paul,17253,0.011863741290261803
1944,M,John,66610,0.047958643679733313
1944,M,George,20418,0.014700789470842138
1944,M,Paul,16654,0.011990740907405473
1945,M,John,66122,0.04821745912177165
1945,M,George,19319,0.014087793665852614
1945,M,Paul,16997,0.0123945457289972
1946,M,John,79256,0.048030009665875825
1946,M,George,21569,0.013071051762431559
1946,M,Paul,21052,0.012757744063364513
1947,M,John,88325,0.047554336853224674
1947,M,George,23916,0.012876416871573409
1947,M,Paul,22795,0.012272868480829396
1948,M,John,82836,0.046469984348440734
1948,M,George,21917,0.012295169334163596
1948,M,Paul,21247,0.011919307516675363
1949,M,John,81152,0.04503688049454437
1949,M,Paul,21590,0.011981790342532692
1949,M,George,21318,0.011830838653177949
1950,M,John,79447,0.043652365695912014
1950,M,Paul,21763,0.011957738298993457
1950,M,George,20185,0.011090701997205485
1951,M,John,81529,0.04267220353105955
1951,M,Paul,22833,0.011950771176203346
1951,M,George,20215,0.01058051238676261
1952,M,John,83107,0.042113675048659746
1952,M,Paul,24282,0.012304670575662171
1952,M,George,19807,0.010037007251961973
1953,M,John,80123,0.0400394382695135
1953,M,Paul,25497,0.0127414794448259
1953,M,George,19168,0.009578722124109616
1954,M,John,81140,0.039238215720239354
1954,M,Paul,26224,0.012681574673990103
1954,M,George,18683,0.009034848216677742
1955,M,John,80019,0.03831160623488248
1955,M,Paul,26673,0.012770535411627492
1955,M,George,18156,0.008692754505811449
1956,M,John,80763,0.03765736613387545
1956,M,Paul,26872,0.0125296081466699
1956,M,George,17235,0.008036163903239643
1957,M,John,78985,0.03610534890333174
1957,M,Paul,26984,0.012334832370798299
1957,M,George,16862,0.007707898882167244
1958,M,John,75990,0.03529203590787009
1958,M,Paul,26253,0.01219268086181489
1958,M,George,15638,0.007262756382777635
1959,M,John,76425,0.03527686511566935
1959,M,Paul,25700,0.011862812345079517
1959,M,George,15007,0.006927051551074254
1960,M,John,76124,0.035143491201431516
1960,M,Paul,25644,0.011838837795826675
1960,M,George,14060,0.006490955366141127
1961,M,John,79910,0.03706555468456475
1961,M,Paul,25623,0.01188500447606811
1961,M,George,13636,0.006324939352755913
1962,M,John,78450,0.03731559815786044
1962,M,Paul,23807,0.011324059214074996
1962,M,George,12559,0.005973825331607002
1963,M,John,78645,0.03807701972335879
1963,M,Paul,26681,0.012917959987779719
1963,M,George,12085,0.005851113018714362
1964,M,John,82541,0.040708398434417564
1964,M,Paul,26884,0.013258920821299496
1964,M,George,11797,0.005818162807947856
1964,M,Ringo,12,5.918280384451494e-6
1965,M,John,71563,0.037751386208028
1965,M,Paul,24936,0.013154403343674613
1965,M,George,10688,0.005638204320548374
1965,M,Ringo,18,9.495478833258864e-6
1966,M,John,65064,0.03578557038065344
1966,M,Paul,23583,0.012970784247616962
1966,M,George,9939,0.0054665065783430855
1966,M,Ringo,8,4.400045540471344e-6
1967,M,John,61633,0.034625261446482335
1967,M,Paul,22843,0.012833138857787158
1967,M,George,9706,0.005452805925389929
1968,M,John,60934,0.034301514898197105
1968,M,Paul,21881,0.012317449166105145
1968,M,George,9391,0.005286466117585733
1969,M,John,58789,0.032117133654127716
1969,M,Paul,20705,0.011311389074634954
1969,M,George,9202,0.005027162630513927
1970,M,John,58538,0.03071243854285644
1970,M,Paul,20213,0.010604915102442125
1970,M,George,8925,0.004682573951877306
1971,M,John,51520,0.028329016897334806
1971,M,Paul,17480,0.0096116307330243091
1971,M,George,8229,0.004524834628264133
1972,M,John,43185,0.02578333638820743
1972,M,Paul,14567,0.008697136995878606
1972,M,George,7164,0.004277221764156953
1972,M,Ringo,6,3.5822627840510495e-6
1973,M,John,39180,0.024269529290063617
1973,M,Paul,12911,0.007997547030730254
1973,M,George,6606,0.004091998736349164
1974,M,John,37655,0.023087983273398387
1974,M,Paul,12324,0.0075564016959596796
1974,M,George,6283,0.003852391419645786
1974,M,Ringo,6,3.678871322278325e-6
1975,M,John,35102,0.021625371337603946
1975,M,Paul,12020,0.007405189546977364
1975,M,George,5842,0.0035990946200866692
1975,M,Ringo,8,4.9285787334291945e-6
1976,M,John,33995,0.020813295039401075
1976,M,Paul,11793,0.007220214396224648
1976,M,George,5564,0.0034065354787241532
1976,M,Ringo,13,7.959195043748021e-6
1977,M,John,34236,0.020022399167195455
1977,M,Paul,11807,0.006905142743517839
1977,M,George,5603,0.0032768285586457567
1977,M,Ringo,10,5.848346526228372e-6
1978,M,John,34032,0.019913527822589847
1978,M,Paul,11737,0.00686780312804822
1978,M,George,5293,0.0030971527610768705
1978,M,Ringo,12,7.021695283000651e-6
1979,M,John,35436,0.01977789771373173
1979,M,Paul,11646,0.006499982977032389
1979,M,George,5256,0.002933531729974432
1979,M,Ringo,9,5.023170770504164e-6
1980,M,John,35271,0.019017173740976938
1980,M,Paul,11818,0.0063719474716017535
1980,M,George,5297,0.0028559998102110754
1980,M,Ringo,5,2.6958654051454365e-6
1981,M,John,34880,0.018731740848943117
1981,M,Paul,11774,0.006323036604227531
1981,M,George,5157,0.002769483588245403
1981,M,Ringo,8,4.296270836913559e-6
1982,M,John,34690,0.01838656196202478
1982,M,Paul,11303,0.005990870852025543
1982,M,George,4988,0.002643763939653491
1982,M,Ringo,9,4.7702236280836846e-6
1983,M,John,33146,0.017793538904376235
1983,M,Paul,10823,0.005810036552285766
1983,M,George,4490,0.002410335777488967
1984,M,John,32599,0.017379311374308537
1984,M,Paul,10455,0.005573812092959777
1984,M,George,4264,0.0022732410104620267
1984,M,Ringo,6,3.1987443862036024e-6
1985,M,John,31491,0.01637294395837276
1985,M,Paul,10307,0.005358862321899846
1985,M,George,4254,0.0022117590295296346
1986,M,John,30190,0.01572000376988497
1986,M,Paul,9707,0.005054457654662916
1986,M,George,4342,0.0022608895782987924
1986,M,Ringo,7,3.644916409049182e-6
1987,M,John,29535,0.015153443040806295
1987,M,Paul,9697,0.004975213718188544
1987,M,George,4087,0.00209690610149908
1988,M,John,29394,0.014690668321953239
1988,M,Paul,9426,0.004710969572114419
1988,M,George,4293,0.0021455752570642053
1989,M,John,29838,0.014241061392920706
1989,M,Paul,9029,0.0043093552958201305
1989,M,George,4511,0.0021530071701677494
1990,M,John,29066,0.013513645453011187
1990,M,Paul,8579,0.003988631539991157
1990,M,George,4564,0.0021219389612448583
1991,M,John,27798,0.013118526390899807
1991,M,Paul,7678,0.003623427787226733
1991,M,George,4179,0.0019721678461605257
1992,M,John,26241,0.012505105024106199
1992,M,Paul,6997,0.003334408744090205
1992,M,George,3892,0.0018547261443474456
1993,M,John,24989,0.01210234762975311
1993,M,Paul,6477,0.003136856440750366
1993,M,George,3511,0.0017004018779488241
1994,M,John,24175,0.011863417832275073
1994,M,Paul,5796,0.002844275894761792
1994,M,George,3318,0.001628244896276678
1994,M,Ringo,6,2.9443849842254576e-6
1995,M,John,23232,0.011553765641372745
1995,M,Paul,5413,0.0026919995444538
1995,M,George,3286,0.0016341973957279116
1995,M,Ringo,5,2.4866058973340102e-6
1996,M,John,22169,0.011067295888541263
1996,M,Paul,4879,0.0024357136830796527
1996,M,George,3227,0.0016109957071731992
1997,M,John,21372,0.01070171546916647
1997,M,Paul,4748,0.002377491346041662
1997,M,George,3175,0.0015898346722161493
1998,M,John,20615,0.010171175731668447
1998,M,Paul,4319,0.002130939024257872
1998,M,George,3044,0.0015018704306184213
1999,M,John,20341,0.00998125539766036
1999,M,Paul,4015,0.0019701460312475465
1999,M,George,3041,0.0014922077412263485
2e3,M,John,20084,0.009623493514060536
2e3,M,Paul,3790,0.0018160247171026404
2e3,M,George,3035,0.0014542572602655708
2001,M,John,18879,0.009133566619303132
2001,M,Paul,3509,0.0016976368063528094
2001,M,George,3085,0.0014925077080645247
2001,M,Ringo,7,3.3865653019292296e-6
2002,M,John,17442,0.008445773360611086
2002,M,Paul,3257,0.0015771060563874732
2002,M,George,3015,0.0014599247037176027
2003,M,John,17222,0.008202448351294545
2003,M,Paul,3248,0.001546948800662216
2003,M,George,2910,0.0013859670597066037
2004,M,John,16439,0.007784763760193854
2004,M,Paul,3181,0.0015063771227676046
2004,M,George,2734,0.0012946982249753634
2005,M,John,15760,0.007415144585909343
2005,M,Paul,3142,0.0014783238762009617
2005,M,George,2823,0.0013282330689100303
2005,M,Ringo,9,4.23453688281625e-6
2006,M,John,15153,0.006918969565300772
2006,M,Paul,3021,0.0013794104835196748
2006,M,George,2699,0.0012323829510160881
2006,M,Ringo,8,3.652857950399668e-6
2007,M,John,14424,0.0065192778354045055
2007,M,Paul,2762,0.001248353118509931
2007,M,George,2757,0.0012460932468254453
2008,M,John,13310,0.0061127698103571725
2008,M,Paul,2552,0.001172035203308152
2008,M,George,2551,0.0011715759418648494
2008,M,Ringo,5,2.2963072165128372e-6
2009,M,John,12103,0.005715038536255056
2009,M,Paul,2422,0.0011436687874749852
2009,M,George,2380,0.0011238363807557657
2009,M,Ringo,7,3.3054011198698995e-6
2010,M,John,11543,0.0056285955866505295
2010,M,George,2368,0.0011546837346606996
2010,M,Paul,2122,0.0010347292588471302
2010,M,Ringo,6,2.9257189222821776e-6
2011,M,John,11027,0.005440341014211392
2011,M,George,2315,0.001142141058120919
2011,M,Paul,2067,0.0010197864220889588
2011,M,Ringo,6,2.960192807224844e-6
2012,M,John,10607,0.005241728846409488
2012,M,George,2333,0.0011529134909657145
2012,M,Paul,1947,9.62161408877088e-4
2012,M,Ringo,7,3.4592346492756115e-6
2013,M,John,10687,0.005307517683862256
2013,M,George,2543,0.00126293791242273
2013,M,Paul,2030,0.0010081651444035164
2014,M,John,10659,0.005225527675833932
2014,M,George,2999,0.0014702465052843572
2014,M,Paul,1996,9.785301849108293e-4
2015,M,John,10303,0.005083202096629684
2015,M,George,3032,0.0014959010731807436
2015,M,Paul,2015,9.941426987002632e-4
2015,M,Ringo,12,5.920452796229856e-6
